task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
responsive_vs_lor_all_phases,confounds_motion_propofol,47,147,26,0.3469387755102041,0.4622140522875817,0.3299660233289219,0.5039828431372548,0.54421768707483,0.2597438347340773,0.7147346297653144
responsive_vs_lor_all_phases,confounds_motion_propofol,48,147,26,0.3469387755102041,0.2961601307189543,0.25199005170757677,0.37683823529411764,0.40816326530612246,0.2654571392227673,0.7248892148243324
responsive_vs_lor_all_phases,confounds_motion_propofol,49,147,26,0.3469387755102041,0.5120506535947712,0.3941039347380949,0.5199142156862745,0.5170068027210885,0.25291926317885804,0.6992424641413499
responsive_vs_lor_all_phases,confounds_motion_propofol,50,147,26,0.3469387755102041,0.5351307189542485,0.41140273084228407,0.5309436274509804,0.5374149659863946,0.24721514019674817,0.6844035928990914
responsive_vs_lor_all_phases,confounds_motion_propofol,51,147,26,0.3469387755102041,0.4475081699346405,0.3058615048523263,0.5006127450980392,0.4557823129251701,0.2582709577833416,0.7106859276313587
responsive_vs_lor_all_phases,confounds_motion_propofol,52,147,26,0.3469387755102041,0.5755718954248367,0.4014812831298589,0.6124387254901961,0.6258503401360545,0.2467703894841767,0.6868372934048973
responsive_vs_lor_all_phases,confounds_motion_propofol,53,147,26,0.3469387755102041,0.4168709150326797,0.2934908917267355,0.44699754901960786,0.4217687074829932,0.26253359219158234,0.7185732194258787
responsive_vs_lor_all_phases,confounds_motion_propofol,54,147,26,0.3469387755102041,0.5437091503267973,0.3980643698973225,0.4963235294117647,0.5102040816326531,0.24786302025213042,0.6882383914410124
responsive_vs_lor_all_phases,confounds_motion_propofol,55,147,26,0.3469387755102041,0.6292892156862745,0.44450962853559617,0.6587009803921569,0.6802721088435374,0.24209690018852642,0.6848899026560548
responsive_vs_lor_all_phases,confounds_motion_propofol,56,147,26,0.3469387755102041,0.5706699346405228,0.3936484608502183,0.5376838235294118,0.5102040816326531,0.2507459867665957,0.6951338832017993
responsive_vs_lor_all_phases,confounds_motion_propofol,57,147,26,0.3469387755102041,0.43790849673202614,0.3215593568745775,0.4742647058823529,0.46938775510204084,0.2596251809849868,0.7133668922056685
responsive_vs_lor_all_phases,confounds_motion_propofol,58,147,26,0.3469387755102041,0.3564133986928105,0.28342058321303176,0.39368872549019607,0.4421768707482993,0.2627786874929115,0.7196653717546538
responsive_vs_lor_all_phases,confounds_motion_propofol,59,147,26,0.3469387755102041,0.5238970588235294,0.36791255909558507,0.5134803921568627,0.4965986394557823,0.2539602767507469,0.7021379867776626
responsive_vs_lor_all_phases,confounds_motion_propofol,60,147,26,0.3469387755102041,0.4618055555555556,0.3078028211638275,0.5116421568627451,0.47619047619047616,0.25894957869570195,0.7132236597124181
responsive_vs_lor_all_phases,confounds_motion_propofol,61,147,26,0.3469387755102041,0.358047385620915,0.28810654554384796,0.4068627450980392,0.43537414965986393,0.2625982363506623,0.7188717683950319
